,Completed
720575940596125868,True
720575940597856265,True
720575940597944841,True
720575940598267657,True
720575940599333574,True
720575940599457990,True
720575940599459782,True
720575940599704006,True
720575940599729862,True
720575940599733446,True
720575940599738284,True
720575940599755718,True
720575940599763910,True
720575940599797164,True
720575940600071689,True
720575940600084489,True
720575940600101641,True
720575940600124169,True
720575940600143369,True
720575940600150793,True
720575940600433181,True
720575940600547529,True
720575940600588204,True
720575940600623020,True
720575940600646173,True
720575940600722348,True
720575940600782252,True
720575940600850441,True
720575940600866569,True
720575940600934665,True
720575940601049097,True
720575940601067436,True
720575940601103625,True
720575940601206499,True
720575940601263473,True
720575940601325484,True
720575940601412361,True
720575940601423625,True
720575940601566217,True
720575940601568777,True
720575940601598892,True
720575940601603185,True
720575940601653513,True
720575940601672201,True
720575940601712649,True
720575940601736201,True
720575940601867017,True
720575940602090976,True
720575940602120928,True
720575940602132509,True
720575940602140862,True
720575940602309600,True
720575940602313952,True
720575940602337504,True
720575940602353632,True
720575940602380768,True
720575940602382304,True
720575940602398473,True
720575940602401214,True
720575940602415584,True
720575940602430944,True
720575940602444512,True
720575940602447328,True
720575940602483424,True
720575940602497726,True
720575940602506208,True
720575940602534112,True
720575940602553568,True
720575940602564320,True
720575940602572768,True
720575940602577598,True
720575940602605536,True
720575940602618848,True
720575940602619249,True
720575940602677617,True
720575940602703072,True
720575940602718432,True
720575940602720940,True
720575940602728364,True
720575940602737598,True
720575940602747360,True
720575940602783968,True
720575940602790610,True
720575940602800608,True
720575940602815200,True
720575940602829536,True
720575940602831328,True
720575940602849248,True
720575940602857440,True
720575940602857696,True
720575940602858464,True
720575940602862560,True
720575940602864300,True
720575940602879404,True
720575940602880736,True
720575940602885344,True
720575940602891232,True
720575940602893228,True
720575940602914988,True
720575940602917088,True
720575940602920364,True
720575940602922976,True
720575940602928608,True
720575940602943968,True
720575940602953388,True
720575940602964140,True
720575940602974688,True
720575940602977248,True
720575940602996448,True
720575940603011808,True
720575940603012832,True
720575940603022304,True
720575940603029472,True
720575940603032748,True
720575940603042272,True
720575940603045804,True
720575940603048108,True
720575940603050668,True
720575940603067360,True
720575940603077600,True
720575940603082720,True
720575940603084972,True
720575940603094700,True
720575940603111392,True
720575940603114464,True
720575940603117996,True
720575940603121888,True
720575940603123936,True
720575940603125216,True
720575940603144416,True
720575940603152998,True
720575940603167916,True
720575940603174368,True
720575940603174572,True
720575940603176049,True
720575940603183840,True
720575940603186790,True
720575940603195421,True
720575940603195494,True
720575940603197408,True
720575940603198432,True
720575940603200428,True
720575940603201452,True
720575940603204576,True
720575940603208928,True
720575940603215532,True
720575940603225312,True
720575940603231916,True
720575940603233248,True
720575940603235500,True
720575940603238828,True
720575940603240876,True
720575940603245996,True
720575940603250860,True
720575940603252396,True
720575940603266592,True
